ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
113;2;7;11;NÃO;NÃO;SIM;CINEMAX XINGUARA 2;XINGUARA;PA;CINEMAX XINGUARA LTDA
211;9;6;11;SIM;NÃO;SIM;CENTERPLEX SUZANO;SUZANO;SP;EMPRESA CENTERPLEX DE CINEMAS LTDA
329;6;4;11;SIM;SIM;NÃO;CINEPLUS CITY CENTER;CAMPO LARGO;PR;VITOMAQ PRODUÇÕES ARTISTICAS E CINEMA LTDA - ME
100;10;10;10;SIM;NÃO;SIM;CINEMA ULYSSES GEREMIA;CAXIAS DO SUL;RS;MUNICIPIO DE CAXIAS DO SUL
238;6;10;10;SIM;SIM;NÃO;MULTIPLEX PARK BOTUCATU;BOTUCATU;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
220;5;10;10;NÃO;SIM;SIM;CENTERPLEX VIA SUL SHOPPING;FORTALEZA;CE;EMPRESA DE CINEMAS FORTALEZA LTDA
100;5;10;10;SIM;SIM;NÃO;BIBLIOTECA COMUNITÁRIA TAMBORIL;PIRAPORA;MG;ASSOCIACAO CLUBE LITERARIO TAMBORIL
212;4;10;10;SIM;SIM;NÃO;CINE K MARATAIZES;MARATAÍZES;ES;CINEMATOGRÁFICA MARATAÍZES LTDA
152;4;10;10;SIM;NÃO;SIM;CINESYSTEM LONDRINA;LONDRINA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
223;4;8;10;SIM;SIM;NÃO;CINE SHOW TUBARAO;TUBARÃO;SC;TATU FILMES LTDA
260;6;6;10;SIM;NÃO;SIM;CINE TEATRO SHOPPING SÃO PEDRO;SÃO PEDRO;SP;CINE TEATRO SHOPPING SÃO PEDRO LTDA-ME
156;4;6;10;SIM;NÃO;SIM;CINE RITZ PIUMA;PIÚMA;ES;CINEMATOGRÁFICA PIÚMA LTDA
435;9;5;10;SIM;NÃO;SIM;2114 CINEMARK LAR CENTER;SÃO PAULO;SP;CINEMARK BRASIL S.A
200;5;5;10;SIM;NÃO;SIM;CINE TEATRO ESMERALDA;AGUAÍ;SP;PNP SUL LTDA
764;4;4;10;SIM;SIM;NÃO;CINEMEC IGUAÇU JACAREZINHO;JACAREZINHO;PR;BENEDITO CELSO PINHEIRO DE QUADROS LTDA
199;4;4;10;SIM;SIM;NÃO;CINEFLIX - MOGI GUAÇU;MOGI GUAÇU;SP;MOVIESYSTEM CINEMATOGRAFICA LTDA
164;4;4;10;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
1050;12;0;10;SIM;SIM;SIM;CINETEATRO SÃO LUIZ;FORTALEZA;CE;INSTITUTO DRAGAO DO MAR
345;6;0;10;SIM;SIM;NÃO;CINEFLIX - BRASÍLIA;BRASÍLIA;DF;MOVIESYSTEM CINEMATOGRAFICA LTDA
323;6;0;10;SIM;SIM;NÃO;CINEFLIX - BRASÍLIA;BRASÍLIA;DF;MOVIESYSTEM CINEMATOGRAFICA LTDA
161;2;0;10;SIM;NÃO;SIM;CINEMAS MARACANAU;MARACANAÚ;CE;EMPRESA DE CINEMAS FORTALEZA LTDA
149;2;0;10;SIM;NÃO;SIM;CINEMAS MARACANAU;MARACANAÚ;CE;EMPRESA DE CINEMAS FORTALEZA LTDA
441;9;9;9;SIM;NÃO;SIM;COMPLEXO CINEMATOGRÁFICO MARABA;SÃO PAULO;SP;MULTIPLEX DO BRASIL ENTRETENIMENTO LTDA
174;6;7;9;SIM;NÃO;SIM;CENTERPLEX SUZANO;SUZANO;SP;EMPRESA CENTERPLEX DE CINEMAS LTDA
210;5;6;9;SIM;NÃO;SIM;CINEART CINE CIDADE;BELO HORIZONTE;MG;DELTA FILMES LTDA
152;3;3;9;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
300;6;0;9;SIM;SIM;NÃO;CINEFLIX - RIO VERDE;RIO VERDE;GO;MOVIESYSTEM CINEMATOGRAFICA LTDA
298;6;0;9;SIM;SIM;NÃO;CINEFLIX - RIO VERDE;RIO VERDE;GO;MOVIESYSTEM CINEMATOGRAFICA LTDA
127;6;0;9;SIM;SIM;SIM;CINE JARDINS;VITÓRIA;ES;CINEMATOGRÁFICA JARDINS LTDA ME
122;2;0;9;SIM;SIM;SIM;CINE JARDINS;VITÓRIA;ES;CINEMATOGRÁFICA JARDINS LTDA ME
284;7;9;8;SIM;SIM;NÃO;MULTIPLEX PARK BOTUCATU;BOTUCATU;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
392;8;8;8;SIM;SIM;NÃO;CINEFLIX - SALVADOR;SALVADOR;BA;MOVIESYSTEM CINEMATOGRAFICA LTDA
300;8;8;8;SIM;NÃO;SIM;CINE TEATRO PEPERI LTDA;SÃO MIGUEL DO OESTE;SC;CINE TEATRO PEPERI LTDA
283;6;8;8;NÃO;NÃO;SIM;CINESYSTEM SHOPPING CIDADE;CURITIBA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
302;4;8;8;NÃO;NÃO;SIM;CINESYSTEM SHOPPING VENTURA;CURITIBA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
239;4;8;8;SIM;NÃO;SIM;CINE SHOW TRÊS RIOS;TRÊS RIOS;RJ;TATU FILMES LTDA
227;4;8;8;SIM;NÃO;SIM;CINEMAS BARRETOS;BARRETOS;SP;EMPRESA DE CINEMAS FORTALEZA LTDA
214;4;8;8;SIM;NÃO;SIM;CINEMAS BARRETOS;BARRETOS;SP;EMPRESA DE CINEMAS FORTALEZA LTDA
212;4;8;8;SIM;NÃO;SIM;CINE TEATRO VILA RICA;PRIMAVERA DO LESTE;MT;MAURICIO JOSE NICOLINO & CIA LTDA
